particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
"Printer Type:Print; Scan; Copy; Fax with ADFPrint Method:On-demand inkjet (Piezoelectric)Printer Language:ESC/P-R; ESC/P RasterNozzle Configuration:180 x 1 nozzles Black; 59 x 1 nozzles per Colour (Cyan; Magenta; Yellow)Maximum Resolution:5760 x 1440 dpiAutomatic 2-sided Printing:NoPhoto Default - 10 x 15 cm / 4 x 6 "" *1:Approx. 69 sec per photo (Border) / 90 sec per photo (Borderless)*2Draft; A4 (Black / Colour):Up to 33 ppm / 15 ppm*2ISO 24734; A4 Simplex (Black / Colour):Up to 10 ipm / 5.0 ipm*2First Page Out Time from Ready Mode (Black / Colour):Approx. 10 sec / 16 sec*2Copying:Maximum Copies from Standalone:99 copiesReduction / Enlargement:25 – 400 %Maximum Copy Resolution:600 x 600 dpiMaximum Copy Size:LegalISO 29183; A4 Simplex Flatbed (Black / Colour):Up to 7.7 ipm / 3.8 ipmScanning:Scanner Type:Flatbed colour image scannerSensor Type:CISOptical Resolution:1200 x 2400 dpiMaximum Scan Area:216 x 297 mmScanner Bit Depth (Colour):48-bit input; 24-bit outputScanner Bit Depth (Grayscale):16-bit input; 8-bit outputScanner Bit Depth (Black & White):16-bit input; 1-bit outputScan Speed:Scan Speed (Flatbed / ADF (Simplex)):200dpi; Black: 12 sec / Up to 4.5 ipm200dpi; Colour: 29 sec / Up to 4.5 ipmADF Specifications:Support Paper Thickness:64 – 95 g/m2Paper Capacity:30 pages (A4); 10 pages (Legal)Fax Function:Type Of Fax:Walk-up black-and-white and colour fax capabilityReceive Memory / Page Memory:1.1 MB; Page memory up to 100 pagesError Correction Mode:ITU-T T.30Fax Speed (Data Transfer Rate):Up to 33.6 kbps; Approx. 3 sec/pageFax Resolution:Up to 200 x 200 dpiTransmission Paper Size (Flatbed):Letter; A4Transmission Paper Size (ADF):A4; Letter; 8.5 x 13''; Legal; Oficio 9; Mexico-Oficio; Indian-LegalReceiving Paper Size:A4; Letter; LegalSpeed Dial / Group Dial:Up to 100 numbers; 99 groupsFax Features:PC Fax (Transmission / Receive); Automatic Redial; Address book; Broadcast Fax (Mono Only); Transmit Reservation; Polling ReceptionPaper Handling:Number of Paper Trays:1Standard Paper Input Capacity:Up to 100 sheets of Plain paper (80 g/m2)Up to 20 sheets of Premium Glossy Photo PaperOutput Capacity:Up to 30 sheets of Plain Paper (80 g/m2)Up to 20 sheets Premium Glossy Photo PaperMaximum Paper Size:215.9 x 1200 mmPaper Size:Legal (8.5 x 14""); Indian-Legal (215 x 345 mm); 8.5 x 13""; Letter; A4; 16K (195 x 270 mm); B5; A5; B6; A6; Hagaki (100 x 148 mm); 5 x 7""; 5 x 8""; 4 x 6""; Envelopes: #10; DL; C6Print Margin:0 mm top; left; right; bottom via custom settings in printer driver *3",UNIT,14844.50,02PR-01,1040503000-Semi-Expendable Information and Communications Technology Equipment - 00002-Printers and Scanners,17,15,5,
"Printer Type:Print; Scan; Copy; Fax with ADFPrinting Technology:Print Method:PrecisionCore PrintheadPrinter Language:ESC/P-R; ESC/P RasterNozzle Configuration:400 x 1 nozzles (Black); 128 x 1 nozzles per Colour (Cyan; Magenta; Yellow)Maximum Resolution:4800 x 1200 dpiAutomatic 2-sided Printing:YesPrint Speed:Draft; A4 (Black / Colour):Up to 37.0 ppm / 23.0 ppm*2ISO 24734; A4 Simplex (Black / Colour):Up to 17.0 ipm / 9.5 ipm*2ISO 24734; A4 Duplex (Black / Colour):Up to 7.5 ipm / 5.0 ipm*2First Page Out Time from Ready Mode (Black / Colour):Simplex: Up to 7.0 sec / 11.0 sec*2Copy Function:Reduction / Enlargement:25 - 400%Maximum Copy Size:LegalCopy Resolution:600 x 600 dpiMax Copies:99 copiesCopying:ISO 29183; A4 Simplex Flatbed (Black / Colour):Up to 12.0 ipm / 6.0 ipmISO 24735; A4 Simplex ADF (Black / Colour):Up to 10.0 ipm / 4.5 ipmScanning:Scanner Type:Flatbed colour image scannerSensor Type:CISOptical Resolution:1200 x 2400 dpiMaximum Scan Area:216 x 297 mmScanner Bit Depth (Colour):48-bit input; 24-bit outputScanner Bit Depth (Grayscale):16-bit input; 8-bit outputScanner Bit Depth (Black & White):16-bit input; 1-bit outputScan Speed:Flatbed (Black / Colour):200dpi: 12 sec / 27 secADF Monochrome (Simplex):200dpi: 6.0 ipmADF Colour (Simplex):200dpi: 5.0 ipmADF Specifications:Support Paper Thickness:64-95 g/m2Paper Capacity:35 sheets (A4 Paper)10 sheets (Legal)Fax Function:Type Of Fax:Walk-up B/W and Colour Fax CapabilityReceive Memory / Page Memory:2MB; Page memory up to 180 pagesError Correction Mode:ITU-T T.30Fax Speed (Data Transfer Rate):Up to 33.6 kbps; Approx. 3 sec/pageFax Resolution:Up to 200 x 200 dpiTransmission Paper Size (Flatbed):Letter; A4Transmission Paper Size (ADF):Letter; A4; 8.5 x 13""; LegalReceiving Paper Size:Letter; A4; LegalSpeed Dial / Group Dial:Up to 100 numbers; 99 groupsFax Features:PC Fax (Transmission / Receive); Automatic Redial; Address book; Broadcast Fax (Mono Only); Transmit Reservation; Polling Reception; Fax PreviewInterface:USB:USB 2.0Network:Wireless IEEE 802.11b/g/n; Wi-Fi Direct; EthernetNetwork Protocol:TCP/IPv4; TCP/IPv6Network Management Protocols:SNMP; HTTP; DHCP; BOOTP; APIPA; PING; DDNS; mDNS; SNTP; SLP; WSD; LLTD",UNIT,23424.50,02PR-02,1040503000-Semi-Expendable Information and Communications Technology Equipment - 00002-Printers and Scanners,17,15,5,
ELECTRIC KNAPSACK SPRAYER16L18L,PIECE,6200.47,AG-035,1040504000-Semi-Expendable Agricultural and Forestry Equipment - 00099-Others,18,16,5,
"Desktop Computer, Operating SystemOperating System 	Windows 11 Home Processor & ChipsetProcessor Type 	Core™ i5Processor Model 	Intel® Core™ i5-13400Processor Speed 	2.5 GHzProcessor Speed (turbo) 	4.6 GhzProcessor Core 	Deca-core (10 Core)Cache 	20MB Intel® Smart CacheHyper-Threading 	YesMemoryStandard Memory 	8 GBMaximum Memory 	Up to 32 GB of Dual-channel DDR4Memory Technology 	DDR4 SDRAMMemory Card Reader 	Yes                         StorageNumber of Hard Drives 	1Total Hard Drive Capacity 	1 TBHard Drive RPM 	7200 RPMTotal Solid State Drive Capacity 	256 GBSolid State Drive Interface 	M.2 2280 PCI-E SSDMonitor Display & GraphicsScreen Size 	54.6 cm (21.5"")Display Screen Technology 	VATouchscreen 	NoMulti-touch Screen 	NoScreen Resolution 	1920x1080 @100HzGraphics Controller Manufacturer 	Intel®Graphics Controller Model 	Intel® UHD 730 Graphics for 13th GenerationAudioSpeakers 	No Network & CommunicationWireless LAN 	YesWireless LAN Standard 	IEEE 802.11ac/a/b/g/nEthernet Technology 	Gigabit EthernetBluetooth 	YesBluetooth Standard 	5.0 I/O ExpansionsNumber of PCI Express x1 Slots 	1Number of PCI Express x16 Slots 	1Number of M.2 Slot 	2Built-in DevicesWebcam 	NoInterfaces/PortsHDMI 	YesNumber of USB 2.0 Ports 	4Number of USB 3.2 Gen 1 Port 	1Number of USB 3.2(Type-C) Ports 	1Network (RJ-45) 	YesAudio Line In 	Yes Input DevicesPointing Device Type 	Wired MouseKeyboard Included 	YesKeyboard Type 	USB Wired KeyboardSoftwareFeatured Software 	MS Office for Home & Student Power DescriptionPower Supply 	300 W Physical CharacteristicsColor 	BlackHeight 	41.7 cmWidth 	23.4 cmDepth 	49 cmWarrantyWarranty 	2 Years Warranty",UNIT,53898.90,04CU-01,1060503000-Information and Communications Technology Equipment - 00001-Computers,122,38,31,
"Desktop Computer, Operating SystemWindows 11 Home - ProcessorIntel® Core™ i7-12700KF Processor 3.6 GHz (25M Cache; up to 5.0 GHz; 12 cores)ChipsetIntel® B660 ChipsetGraphicsNVIDIA® GeForce RTX™ 3070 DUAL 8GB GDDR6 with LHR : 3x DP; 2x HDMIMemory4x DDR4 U-DIMM slot8GB DDR4 U-DIMM x 2Memory max up to: 64GBSATA4 x SATA 6.0Gb/s portStorage1TB M.2 2280 NVMe™ PCIe® 4.0 Performance SSDFront I/O Ports1x Headphone1x Mic in1x USB 3.2 Gen 1 Type-C1x USB 3.2 Gen 1 Type-ARear I/O Ports1x RJ45 Gigabit Ethernet1x HDMI 2.0a1x Displayport 1.45 x Audio jacks2x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 2 Type-C4x USB 3.2 Gen 2 Type-AAudioHigh Definition 7.1 Channel AudioNetwork and CommunicationWi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless CardPower Supply700W power supply (80+ Bronze; peak 750W)Monitor21.5“ Monitor1920 x1080 Resolution100Hz1ms (VRB) Response Time100 million:1 max Contrast Ratio3 Years WarrantyKeyboard and MouseHeadsetMicrosoft OfficeOffice Home and Student 2021 included",UNIT,127594.50,04CU-02,1060503000-Information and Communications Technology Equipment - 00001-Computers,122,38,31,
"Laptop, Operating SystemWindows 11 HomeProcessor13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz 24M Cache; up to 4.9 GHz; 14 cores: 6 P-cores and 8 E-cores)GraphicsNVIDIA® GeForce RTX™ 4050 Laptop GPU (194 AI TOPs)ROG Boost: 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC; 115W+25W Dynamic Boost)6GB GDDR6DisplayROG Nebula Display16-inchQHD+ 16:10 (2560 x 1600; WQXGA)IPS-levelanti-glare displayDCI-P3: 100%Refresh Rate: 240HzResponse Time: 3msG-SyncPantone ValidatedMUX Switch + NVIDIA® Advanced OptimusSupport Dolby Vision HDR : YesMemory16GB DDR5-4800 SO-DIMMMax Capacity: 32GBSupport dual channel memoryStorage1TB PCIe® 4.0 NVMe™ M.2 SSD2x DDR5 SO-DIMM slots2x M.2 PCIeI/O Ports1x 3.5mm Combo Audio Jack1x HDMI 2.12x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC1x RJ45 LAN port1x Thunderbolt™ 4 support DisplayPort™1x HDMI 2.1 FRL2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps)1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps)1x RJ45 LAN port1x Thunderbolt™ 4 with support for DisplayPort™ (data speed up to 40Gbps)Keyboard and TouchpadBacklit Chiclet Keyboard 4-Zone RGBTouchpadCamera720P HD cameraAudioSmart Amp TechnologyDolby AtmosAI noise-canceling technologyHi-Res certification (for headphone)Support Microsoft Cortana near field/far fieldBuilt-in array microphone2-speaker system with Smart Amplifier TechnologyNetwork and CommunicationWi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.)Battery90WHrs; 4S1P; 4-cell Li-ionPower Supplyø6.0; 280W AC Adapter; Output: 20V DC; 14A; 280W; Input: 100~240C AC 50/60Hz universal",UNIT,131994.50,03CU-02,1060503000-Information and Communications Technology Equipment - 00001-Computers,122,38,31,
"All-in-One PC, Operating SystemWindows 11 ProcessorIntel Core i7-1255U Processor DisplayNon-touch screen; 23.8-inch; FHD (1920 x 1080) 16:9; Wide view; Anti-glare display; LED Backlit; 250nits; sRGB: 100%; Screen-to-body ratio88 %Touch screen; 23.8-inch; FHD (1920 x 1080) 16:9; Wide view; Anti-glare display; LED Backlit; 250nits; sRGB: 100%; Screen-to-body ratio88 %Memory8GB DDR4 SO-DIMM; Memory Max Up to:64GB DDR416GB DDR4 SO-DIMM; Memory Max Up to:64GB DDR48GB DDR4 SO-DIMM x 2; Memory Max Up to:64GB DDR4Storage512GB M.2 NVMe™ PCIe® 3.0 SSD; 1TB SATA 7200RPM 2.5"" HDD; 256GB M.2 NVMe™ PCIe® 3.0 SSD1TB SATA 5400RPM 2.5"" HDD; 256GB M.2 NVMe™ PCIe® 3.0 SSDSide I/O Ports1x Kensington lock1x 3.5mm combo audio jack1x USB 2.0 Type-ARear I/O Ports1x DC-in1x RJ45 Gigabit Ethernet1x HDMI out 1.41x HDMI in 1.43x USB 3.2 Gen 1 Type-A1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-CCamera720p HD cameraWith privacy shutterAudioBuilt-in microphoneBuilt-in speakersNetwork and CommunicationWi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless CardWi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth® 5.1 Wireless CardPower Supplyø4.5; 90W AC Adapter; Output: 19V DC; 4.74A; 90W; Input: 100~240V AC 50/60Hz universalWeight05.40 kg (11.90 lbs)Dimensions (W x D x H)53.9 x 42.3 x 1.5 ~ 16.5 cm (21.22"" x 16.65"" x 0.59"" ~ 6.50"")Built-in AppsMicrosoft OfficeOffice Home and Student 2021 included1-month trial for new Microsoft 365 McAfee LiveSafe™ 30-day trialKensington Security Slot™(7x 3mm)Trusted Platform Module (TPM) 2.0Wired optical mouse (USB)Wired black keyboard (USB)Wired grey keyboard (USB)",UNIT,99599.50,02CU-02,1060503000-Information and Communications Technology Equipment - 00001-Computers,122,38,31,
"All-in-One PC, Operating SystemWindows 11ProcessorIntel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache; up to 4.2 GHz; 4 cores)GraphicsNVIDIA® GeForce® MX330; 2GB GDDR5DisplayNon-touch screen; 23.8-inch; FHD (1920 x 1080) 16:9; Wide view; Anti-glare display; LED Backlit; 250nits; sRGB: 100%; Screen-to-body ratio88 %Touch screen; 23.8-inch; FHD (1920 x 1080) 16:9; Wide view; Anti-glare display; LED Backlit; 250nits; sRGB: 100%; Screen-to-body ratio88 %Memory8GB DDR4 SO-DIMM; Memory Max Up to:64GB DDR4Storage512GB M.2 NVMe™ PCIe® 3.0 SSD; Without HDDSide I/O Ports1x Kensington lock1x 3.5mm combo audio jack1x USB 2.0 Type-ARear I/O Ports1x DC-in1x RJ45 Gigabit Ethernet1x HDMI out 1.41x HDMI in 1.44x USB 3.2 Gen 1 Type-ACamera720p HD cameraAudioBuilt-in microphoneBuilt-in speakersNetwork and CommunicationWi-Fi 5(802.11ac) (Dual band) 2*2 + Bluetooth® 5.1 Wireless CardPower Supplyø5.5; 90W AC Adapter; Output: 19V DC; 4.74A; 90W; Input: 100~240V AC 50/60Hz universalWeight05.40 kg (11.90 lbs)Dimensions (W x D x H)54.0 x 40.9 x 4.8 ~ 16.5 cm (21.26"" x 16.10"" x 1.89"" ~ 6.50"")Microsoft Office1-month trial for new Microsoft 365 customers. Credit card required.Office Home and Student 2021 includedEcolabels & CompliancesEnergy starEnergy star 8.0RoHSREACHSecurityBIOS Booting User Password ProtectionHDD User Password Protection and SecurityMcAfee LiveSafe™ 30-day trialKensington Security Slot™(7x 3mm)Trusted Platform Module (Firmware TPM)",UNIT,91815.90,02CU-01,1060503000-Information and Communications Technology Equipment - 00001-Computers,122,38,31,
Breeder Stock gilt,HEAD,44289.03,AG-013,1070101000-Breeding Stocks - 00000-Breeding Stocks,141,52,35,
"Laptop, Core i5Operating SystemWindows 11 HomeProcessor12th Gen Intel® Core™ i5-12500H Processor 2.5 GHz (18M Cache; up to 4.5 GHz; 12 cores: 4 P-cores and 8 E-cores)GraphicsNVIDIA® GeForce RTX™ 3050 Laptop GPUROG Boost: 1107.5MHz* at 40W (1057.5MHz Boost Clock+50MHz OC; 35W+5W Dynamic Boost)4GB GDDR6Intel® Iris X? GraphicsDisplay15.6-inchFHD+ 16:10 (1920 x 1200; WUXGA)IPS-levelGlossy displaysRGB: 100Touch ScreenRefresh Rate: 120HzResponse Time: 30msAdaptive-SyncPantone ValidatedSupport stylus: YesMUX Switch + OptimusSupport Dolby Vision HDR : Yes13.4-inchFHD+ 16:10 (1920 x 1200; WUXGA)IPS-levelGlossy displaysRGB: 100Touch ScreenRefresh Rate: 120HzResponse Time: 30msAdaptive-SyncPantone ValidatedSupport stylus: YesSupport Dolby Vision HDR : YesMemory8GB*2 LPDDR5 on boardMax Capacity: 16GBSupport dual channel memory8GB*2 LPDDR5 on boardMax Capacity: 16GBSupport dual channel memoryStorage512GB PCIe® 4.0 NVMe™ M.2 SSD (2230)I/O Ports1x 3.5mm Combo Audio Jack1x HDMI 2.12x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC1x RJ45 LAN port1x Thunderbolt™ 4 support DisplayPort™1x USB 2.0 Type-A (data speed up to 480Mbps)1x USB 3.2 Gen 2 Type-C (data speed up to 10Gbps)1x Thunderbolt™ 4 with support for DisplayPort™ (data speed up to 40Gbps)1x ROG XG Mobile Interface and USB Type-C combo port (with USB 3.2 Gen2; with support for DisplayPort™ 1.4) (data speed up to 10Gbps)1x card reader (microSD) (UHS-II)1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNCKeyboard and TouchpadBacklit Chiclet Keyboard 1-Zone RGBTouchpadCamera8MP camera and 720P HD cameraAudioSmart Amp TechnologyDolby AtmosAI noise-canceling technologyHi-Res certification (for headphone)Built-in 3-microphone array2-speaker system with Smart Amplifier TechnologySmart Amp TechnologyDolby AtmosAI noise-canceling technologyHi-Res certification (for headphone)Built-in 3-microphone array2-speaker system with Smart Amplifier TechnologyNetwork and CommunicationWi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card (*Bluetooth® version may change with OS version different.)Battery56WHrs; 4S1P; 4-cell Li-ionPower SupplyTYPE-C; 100W AC Adapter; Output: 20V DC; 5A; 100W; Input: 100~240V AC; 50/60Hz universalAURA SYNCYesDevice LightingAura Sync Light BarWeight1.18 Kg (2.60 lbs)Dimensions (W x D x H)30.2 x 20.4 x 1.20 ~ 1.20 cm (11.89"" x 8.03"" x 0.47"" ~ 0.47"")",UNIT,93494.50,03CU-01,1060503000-Information and Communications Technology Equipment - 00001-Computers,122,38,31,
